centre,n_timesteps,n_valid_1h_deltas,mean_utilisation,std_utilisation,peak_utilisation,peak_to_average_ratio,coefficient_of_variation,mean_abs_delta_1h,jump_threshold_p90_abs_delta_1h,jump_count_1h,jump_share_1h,sufficient_coverage,variability_bucket
Data Centre #76,17520,17518,0.4873053488586045,0.020985640305140475,0.5646572073150694,1.1587338588374683,0.04306466234014112,0.0036086320767693874,0.006780005311486224,1732,0.09886973398789817,True,low
Data Centre #40,17520,17518,0.16829611308294465,0.007214228767854244,0.1909675626906307,1.134711665007453,0.04286628274236325,0.0008464305446833126,0.0018132828430256602,1751,0.09995433268637972,True,low
Data Centre #21,17520,17518,0.37835873088793204,0.015725183993507252,0.4362237556575753,1.152936935362495,0.04156157294587441,0.003203631542634898,0.007343232622205542,1752,0.10001141682840507,True,low
Data Centre #68,17513,17507,0.6728708047473924,0.02629237208468479,0.7836000000000001,1.1645623416432482,0.03907491883907106,0.003768332464666453,0.007400000000000073,1743,0.09956017592962815,True,low
Data Centre #20,17507,17501,0.21395099946350798,0.008167906287424887,0.2375741002824171,1.1104136034799796,0.03817652784004884,0.0019583299855079595,0.0040923836752995695,1750,0.09999428604079767,True,low
Data Centre #10,17520,17518,0.37035688343567535,0.013490628690034,0.4167281248008105,1.1252069110609335,0.036426023906687,0.0028176178433247105,0.005869342252115434,1752,0.10001141682840507,True,low
Data Centre #48,17511,17503,0.27305953059263055,0.009941471337542957,0.3048533333333333,1.1164354259003506,0.036407706832157216,0.002389911051007168,0.004693333333333383,1745,0.09969719476661144,True,low
Data Centre #71,17519,17516,0.28338306252474854,0.009714138940882456,0.3707450336821789,1.3082822606936886,0.034279179758790614,0.005426738800006807,0.01178286268130846,1716,0.09796757250513816,True,low
Data Centre #54,17518,17514,0.18213613166977505,0.006036428924906222,0.2080077883157262,1.1420457127795938,0.03314240216680713,0.003018192850141362,0.006200000000000011,1766,0.10083361881923034,True,low
Data Centre #66,8,3,0.10665549039385919,0.0034417949065476752,0.1138529753673569,1.067483492382049,0.03227020844250734,0.0021510402531207027,0.0031947479090333767,1,0.3333333333333333,False,insufficient coverage
Data Centre #46,17490,17483,0.2432813591523304,0.007690605144661461,0.2962026375642189,1.217531168833827,0.03161197870423765,0.003547470042738822,0.007245522894011086,1748,0.09998284047360292,True,low
Data Centre #47,17517,17513,0.36921273152165685,0.011145273740012927,0.65952,1.7862872639355738,0.030186591058437486,0.0026228830324462734,0.0050135442569344876,1741,0.09941186547136413,True,low
Data Centre #59,17520,17518,0.6465615848957655,0.01778103697676354,0.7434578856025099,1.149863992804901,0.02750091776583059,0.005148257097424535,0.01057460880665484,1741,0.09938349126612626,True,low
Data Centre #26,3876,3698,0.10511312868525183,0.0026875998271269877,0.1128648648648648,1.0737466030796645,0.025568640765842587,0.00122793183219276,0.0024864864864865,381,0.10302866414277988,True,low
Data Centre #27,3744,3742,0.2592856711175763,0.005835444797243263,0.2699103160277962,1.0409765987623822,0.022505851449836228,0.0019257329419283696,0.004284819263217499,378,0.10101549973276323,True,low
Data Centre #34,17520,17518,0.3572830377471623,0.0064750745405631836,0.3938655405084329,1.1023908187523832,0.018123095295515777,0.0021967888418491796,0.004531128252325368,1752,0.10001141682840507,True,low
